query,intent,theme,place
describe vegetation coverage in Tiruvottiyur_Sadayankuppam,descriptive,vegetation,Tiruvottiyur_Sadayankuppam
temporal view of vegetation in Tiruvottiyur_Sadayankuppam 2018 to 2023,temporal_visualize,vegetation,Tiruvottiyur_Sadayankuppam
visualize urban coverage in Tiruvottiyur_Sadayankuppam 2022,visualize,urban,Tiruvottiyur_Sadayankuppam
show water cover of Tiruvottiyur_Sathangadu from 2010 to 2015,temporal_visualize,water,Tiruvottiyur_Sathangadu
difference in vegetation for Tiruvottiyur_Sathangadu 2018 2023,analytical,vegetation,Tiruvottiyur_Sathangadu
visualize water coverage in Tiruvottiyur_Sathangadu 2022,visualize,water,Tiruvottiyur_Sathangadu
display water in Tiruvottiyur_Sathangadu for 2020,visualize,water,Tiruvottiyur_Sathangadu
visualize water coverage in Tiruvottiyur_Sathangadu 2022,visualize,water,Tiruvottiyur_Sathangadu
show mask for water in Tiruvottiyur_Theyambakkam 2021,visualize,water,Tiruvottiyur_Theyambakkam
compare vegetation in Tiruvottiyur_Theyambakkam between 2015 and 2020,analytical,vegetation,Tiruvottiyur_Theyambakkam
what water exists in Tiruvottiyur_Theyambakkam,descriptive,water,Tiruvottiyur_Theyambakkam
show mask for water in Tiruvottiyur_Theyambakkam 2021,visualize,water,Tiruvottiyur_Theyambakkam
show mask for urban in Tiruvottiyur_Theyambakkam 2021,visualize,urban,Tiruvottiyur_Theyambakkam
display water in Tiruvottiyur_Vaikkadu for 2020,visualize,water,Tiruvottiyur_Vaikkadu
temporal view of urban in Tiruvottiyur_Vaikkadu 2018 to 2023,temporal_visualize,urban,Tiruvottiyur_Vaikkadu
show water cover of Tiruvottiyur_Vaikkadu from 2010 to 2015,temporal_visualize,water,Tiruvottiyur_Vaikkadu
temporal view of vegetation in Tiruvottiyur_Vaikkadu 2018 to 2023,temporal_visualize,vegetation,Tiruvottiyur_Vaikkadu
describe water coverage in Tiruvottiyur_Vaikkadu,descriptive,water,Tiruvottiyur_Vaikkadu
show urban cover of Tondiarpet_Tondiarpet_(Part_I) from 2010 to 2015,temporal_visualize,urban,Tondiarpet_Tondiarpet_(Part_I)
list water in Tondiarpet_Tondiarpet_(Part_I),descriptive,water,Tondiarpet_Tondiarpet_(Part_I)
what water exists in Tondiarpet_Tondiarpet_(Part_I),descriptive,water,Tondiarpet_Tondiarpet_(Part_I)
list urban in Tondiarpet_Tondiarpet_(Part_I),descriptive,urban,Tondiarpet_Tondiarpet_(Part_I)
display urban in Tondiarpet_Tondiarpet_(Part_I) for 2020,visualize,urban,Tondiarpet_Tondiarpet_(Part_I)
vegetation change in Tondiarpet_Tondiarpet_(Part_II) 2020 2025,analytical,vegetation,Tondiarpet_Tondiarpet_(Part_II)
difference in vegetation for Tondiarpet_Tondiarpet_(Part_II) 2018 2023,analytical,vegetation,Tondiarpet_Tondiarpet_(Part_II)
animate vegetation in Tondiarpet_Tondiarpet_(Part_II) from 2015 to 2020,temporal_visualize,vegetation,Tondiarpet_Tondiarpet_(Part_II)
visualize vegetation coverage in Tondiarpet_Tondiarpet_(Part_II) 2022,visualize,vegetation,Tondiarpet_Tondiarpet_(Part_II)
show mask for urban in Tondiarpet_Tondiarpet_(Part_II) 2021,visualize,urban,Tondiarpet_Tondiarpet_(Part_II)
compare water in Tondiarpet_Tondiarpet_(Part_III) between 2015 and 2020,analytical,water,Tondiarpet_Tondiarpet_(Part_III)
describe vegetation coverage in Tondiarpet_Tondiarpet_(Part_III),descriptive,vegetation,Tondiarpet_Tondiarpet_(Part_III)
what urban exists in Tondiarpet_Tondiarpet_(Part_III),descriptive,urban,Tondiarpet_Tondiarpet_(Part_III)
display urban in Tondiarpet_Tondiarpet_(Part_III) for 2020,visualize,urban,Tondiarpet_Tondiarpet_(Part_III)
animate urban in Tondiarpet_Tondiarpet_(Part_III) from 2015 to 2020,temporal_visualize,urban,Tondiarpet_Tondiarpet_(Part_III)
animate vegetation in Tondiarpet_Tondiarpet_(Part_IV) from 2015 to 2020,temporal_visualize,vegetation,Tondiarpet_Tondiarpet_(Part_IV)
animate vegetation in Tondiarpet_Tondiarpet_(Part_IV) from 2015 to 2020,temporal_visualize,vegetation,Tondiarpet_Tondiarpet_(Part_IV)
animate water in Tondiarpet_Tondiarpet_(Part_IV) from 2015 to 2020,temporal_visualize,water,Tondiarpet_Tondiarpet_(Part_IV)
what vegetation exists in Tondiarpet_Tondiarpet_(Part_IV),descriptive,vegetation,Tondiarpet_Tondiarpet_(Part_IV)
compare vegetation in Tondiarpet_Tondiarpet_(Part_IV) between 2015 and 2020,analytical,vegetation,Tondiarpet_Tondiarpet_(Part_IV)
list water in Velachery_Kalikundram,descriptive,water,Velachery_Kalikundram
urban change in Velachery_Kalikundram 2020 2025,analytical,urban,Velachery_Kalikundram
animate urban in Velachery_Kalikundram from 2015 to 2020,temporal_visualize,urban,Velachery_Kalikundram
list water in Velachery_Kalikundram,descriptive,water,Velachery_Kalikundram
describe vegetation coverage in Velachery_Kalikundram,descriptive,vegetation,Velachery_Kalikundram
display urban in Velachery_Kanagam for 2020,visualize,urban,Velachery_Kanagam
visualize urban coverage in Velachery_Kanagam 2022,visualize,urban,Velachery_Kanagam
show vegetation cover of Velachery_Kanagam from 2010 to 2015,temporal_visualize,vegetation,Velachery_Kanagam
difference in vegetation for Velachery_Kanagam 2018 2023,analytical,vegetation,Velachery_Kanagam
show vegetation cover of Velachery_Kanagam from 2010 to 2015,temporal_visualize,vegetation,Velachery_Kanagam
what water exists in Velachery_Pallipattu,descriptive,water,Velachery_Pallipattu
difference in water for Velachery_Pallipattu 2018 2023,analytical,water,Velachery_Pallipattu
temporal view of water in Velachery_Pallipattu 2018 to 2023,temporal_visualize,water,Velachery_Pallipattu
temporal view of vegetation in Velachery_Pallipattu 2018 to 2023,temporal_visualize,vegetation,Velachery_Pallipattu
describe vegetation coverage in Velachery_Pallipattu,descriptive,vegetation,Velachery_Pallipattu
list water in Velachery_Taramani,descriptive,water,Velachery_Taramani
animate vegetation in Velachery_Taramani from 2015 to 2020,temporal_visualize,vegetation,Velachery_Taramani
what vegetation exists in Velachery_Taramani,descriptive,vegetation,Velachery_Taramani
describe vegetation coverage in Velachery_Taramani,descriptive,vegetation,Velachery_Taramani
compare water in Velachery_Taramani between 2015 and 2020,analytical,water,Velachery_Taramani
describe urban coverage in Velachery_Thiruvanmiyur,descriptive,urban,Velachery_Thiruvanmiyur
water change in Velachery_Thiruvanmiyur 2020 2025,analytical,water,Velachery_Thiruvanmiyur
list water in Velachery_Thiruvanmiyur,descriptive,water,Velachery_Thiruvanmiyur
visualize water coverage in Velachery_Thiruvanmiyur 2022,visualize,water,Velachery_Thiruvanmiyur
compare urban in Velachery_Thiruvanmiyur between 2015 and 2020,analytical,urban,Velachery_Thiruvanmiyur
temporal view of urban in Velachery_Urur 2018 to 2023,temporal_visualize,urban,Velachery_Urur
difference in vegetation for Velachery_Urur 2018 2023,analytical,vegetation,Velachery_Urur
visualize water coverage in Velachery_Urur 2022,visualize,water,Velachery_Urur
list urban in Velachery_Urur,descriptive,urban,Velachery_Urur
list urban in Velachery_Urur,descriptive,urban,Velachery_Urur
difference in water for Velachery_Velachery_(Part_I) 2018 2023,analytical,water,Velachery_Velachery_(Part_I)
display urban in Velachery_Velachery_(Part_I) for 2020,visualize,urban,Velachery_Velachery_(Part_I)
show mask for water in Velachery_Velachery_(Part_I) 2021,visualize,water,Velachery_Velachery_(Part_I)
what water exists in Velachery_Velachery_(Part_I),descriptive,water,Velachery_Velachery_(Part_I)
list vegetation in Velachery_Velachery_(Part_I),descriptive,vegetation,Velachery_Velachery_(Part_I)
water change in Velachery_Velachery_(Part_II) 2020 2025,analytical,water,Velachery_Velachery_(Part_II)
visualize vegetation coverage in Velachery_Velachery_(Part_II) 2022,visualize,vegetation,Velachery_Velachery_(Part_II)
compare urban in Velachery_Velachery_(Part_II) between 2015 and 2020,analytical,urban,Velachery_Velachery_(Part_II)
show mask for water in Velachery_Velachery_(Part_II) 2021,visualize,water,Velachery_Velachery_(Part_II)
temporal view of vegetation in Velachery_Velachery_(Part_II) 2018 to 2023,temporal_visualize,vegetation,Velachery_Velachery_(Part_II)
